,PT,months_contribute_group,Num_em,cumulative_num_em,PT_count,remaining_employees,employee_turnover_rate
0,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,A trial,12,12,535,523,0.022944550669216062
1,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,Up to 1 Year,81,93,535,442,0.1832579185520362
2,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,Up to 2 Years,56,149,535,386,0.14507772020725387
3,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,Up to 3 Years,30,179,535,356,0.08426966292134831
4,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,Up to 5 Years,15,194,535,341,0.04398826979472141
5,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,Up to 7 Years,10,204,535,331,0.030211480362537766
6,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,eternal,6,210,535,325,0.018461538461538463
7,TE - Công ty CP giáo dục Topica English,A trial,72,72,1645,1573,0.04577240940877304
8,TE - Công ty CP giáo dục Topica English,Up to 1 Year,256,328,1645,1317,0.19438116932422173
9,TE - Công ty CP giáo dục Topica English,Up to 2 Years,147,475,1645,1170,0.12564102564102564
10,TE - Công ty CP giáo dục Topica English,Up to 3 Years,79,554,1645,1091,0.07241063244729606
11,TE - Công ty CP giáo dục Topica English,Up to 5 Years,74,628,1645,1017,0.0727630285152409
12,TE - Công ty CP giáo dục Topica English,Up to 7 Years,4,632,1645,1013,0.003948667324777887
13,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,A trial,18,18,381,363,0.049586776859504134
14,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,Up to 1 Year,61,79,381,302,0.20198675496688742
15,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,Up to 2 Years,23,102,381,279,0.08243727598566308
16,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,Up to 3 Years,4,106,381,275,0.014545454545454545
17,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,Up to 5 Years,5,111,381,270,0.018518518518518517
18,TPC - TOPICA COMPANY LIMITED,Up to 1 Year,1,1,15,14,0.07142857142857142
19,TPC - TOPICA COMPANY LIMITED,Up to 2 Years,7,8,15,7,1.0
20,TPC - TOPICA COMPANY LIMITED,Up to 5 Years,1,9,15,6,0.16666666666666666
21,TSD - SADAN INDONESIA Limited Liability Company,Up to 5 Years,1,1,1,0,inf
