year,PT,total_employees,cumulative_total_employees,terminated_employees,employee_count_difference
2008,EDH - Công ty CP ĐT & PT đào tạo E.D.H,2,2,0.0,2.0
2008,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,3,3,0.0,3.0
2008,TE - Công ty CP giáo dục Topica English,1,1,0.0,1.0
2009,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,15,18,0.0,18.0
2009,TE - Công ty CP giáo dục Topica English,3,4,0.0,4.0
2010,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,8,26,0.0,26.0
2011,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,3,29,0.0,29.0
2011,TE - Công ty CP giáo dục Topica English,2,6,0.0,6.0
2011,TPC - TOPICA COMPANY LIMITED,1,1,0.0,1.0
2012,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,13,42,0.0,42.0
2012,TE - Công ty CP giáo dục Topica English,5,11,0.0,11.0
2013,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,28,70,0.0,70.0
2013,TE - Công ty CP giáo dục Topica English,13,24,0.0,24.0
2014,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,17,87,0.0,87.0
2014,TE - Công ty CP giáo dục Topica English,30,54,0.0,54.0
2015,EDH - Công ty CP ĐT & PT đào tạo E.D.H,1,3,0.0,3.0
2015,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,25,112,0.0,112.0
2015,TE - Công ty CP giáo dục Topica English,109,163,0.0,163.0
2015,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,1,1,0.0,1.0
2016,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,64,176,0.0,176.0
2016,TE - Công ty CP giáo dục Topica English,160,323,0.0,323.0
2016,TEM - TOP ENGLISH (THAILAND) COMPANY LIMITED,1,1,0.0,1.0
2016,TEP - Topica Edtech Philippines Inc.,2,2,0.0,2.0
2016,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,30,31,0.0,31.0
2016,TPC - TOPICA COMPANY LIMITED,2,3,0.0,3.0
2016,TS - Topica Singapore PTE. LTD,1,1,0.0,1.0
2016,TSD - SADAN INDONESIA Limited Liability Company,1,1,0.0,1.0
2017,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,98,274,0.0,274.0
2017,TE - Công ty CP giáo dục Topica English,296,619,1.0,618.0
2017,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,27,58,0.0,58.0
2017,TPC - TOPICA COMPANY LIMITED,3,6,0.0,6.0
2018,EDH - Công ty CP ĐT & PT đào tạo E.D.H,1,4,0.0,4.0
2018,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,167,441,4.0,437.0
2018,TE - Công ty CP giáo dục Topica English,547,1166,9.0,1157.0
2018,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,117,175,0.0,175.0
2018,TPC - TOPICA COMPANY LIMITED,9,15,0.0,15.0
2019,EDH - Công ty CP ĐT & PT đào tạo E.D.H,1,5,0.0,5.0
2019,EDT - Công ty CP ĐT & PT đào tạo EDUTOP64,94,535,214.0,321.0
2019,TE - Công ty CP giáo dục Topica English,477,1643,657.0,986.0
2019,TET - TOP ENGLISH (THAILAND) COMPANY LIMITED,206,381,127.0,254.0
2020,TE - Công ty CP giáo dục Topica English,1,1644,0.0,1644.0
